OHS-OR_CA1,OHS-XOR_CA1,OHS-PossOR_CA1,OHS-PossXOR_CA1
0.7770030738,0.7554150406,0.8740196883,0.8740196883
0.7463702899,0.7463702899,0.9054834559,0.9054834559
0.7768620054,0.7768620054,0.9164845675000001,0.9164845675000001
0.7720789931,0.7720789931,0.8953913828000001,0.8953913828000001
0.79192689925,0.79200319845,0.88344040835,0.88344040835
0.7742930418,0.77431750705,0.8996871383,0.8996871383
0.8275750268,0.82767403165,0.9016022233500001,0.9016574082500001
0.8093795568000001,0.8094687346,0.9162865697,0.916281415
0.780836058,0.780836058,0.916262153,0.916262153
0.7686637585,0.7686637585,0.8979833115,0.8980573683
0.8654716308500001,0.8655964010000001,0.9173451559500001,0.9173571577
0.8541955465000001,0.8395937122,0.9047956066,0.9048971117
0.8927388734,0.8753626050000001,0.9205952148000001,0.9206076821
0.8249906157,0.8249906157,0.9094688358,0.9094688358
0.8180948841,0.8180948841,0.8815261097,0.8816626679
0.7973959820000001,0.7973959820000001,0.885209396,0.885209396
0.7957504241000001,0.7957504241000001,0.9010176008,0.9010176008
0.7657446485,0.7657446485,0.9037305586000001,0.9037305586000001
0.7746100890500001,0.7746100890500001,0.9032038126,0.9032038126
0.76868616405,0.76868616405,0.90196610415,0.901987292
0.7960959700500001,0.7960959700500001,0.8792179911,0.8792116726000001
0.78830038115,0.78830038115,0.89082045965,0.89082045965
0.7738411191000001,0.7732363439000001,0.9183614229000001,0.9184357164500001
0.7939603693,0.7939603693,0.9054061174000001,0.9054061174000001
0.7914271128500001,0.7914271128500001,0.88966383335,0.8896226531
0.75469312985,0.75469312985,0.8947590715,0.8947910050000001
0.7817578358000001,0.79412674715,0.91473065995,0.9148005256
0.775906721,0.775906721,0.9049736505500001,0.9049926707
0.7768813415,0.77689617735,0.91733284695,0.9174248951
0.8729717570000001,0.8729717570000001,0.9200827626500001,0.9159077569
0.7706196356,0.7706196356,0.9002229051499999,0.9002738572000001
0.7645750421,0.7645750421,0.8996485884000001,0.8996485884000001
0.7885861572,0.7885861572,0.9179800782,0.9179921763000001
0.7751362213,0.7751202096,0.8914341497,0.8914950878000001
0.7782832305,0.778432345,0.9085950564,0.9086480123
0.8138406571,0.8138469205000001,0.9036613258,0.9036854046
0.7856133988,0.7856133988,0.9195400454,0.9195400454
0.8110220064,0.8110095124000001,0.8970501882,0.8970996330000001
