Nspikes,OHS-OR_CA1,Rmax_OHS-OR_CA1,Nspikes,OHS-OR_SUB,Rmax_OHS-OR_SUB,Nspikes,OHS-AND_CA1,Rmax_OHS-AND_CA1,Nspikes,OHS-AND_SUB,Rmax_OHS-AND_SUB,Poss_Nspikes,OHS-PossOR_CA1,Rmax_OHS-PossOR_CA1,Poss_Nspikes,OHS-PossOR_SUB,Rmax_OHS-PossOR_SUB,Poss_Nspikes,OHS-PossAND_CA1,Rmax_OHS-PossAND_CA1,Poss_Nspikes,OHS-PossAND_SUB,Rmax_OHS-PossAND_SUB
1.0,0.79519778625,0.7978191636,1.0,0.8942057262,0.8936629299000001,1.0,nan,0.7978191636,1.0,nan,0.8936629299000001,6.0,0.9000273699000001,0.9077421439000001,6.0,0.9009085973000001,0.9131386329000001,6.0,1.0,0.9077421439000001,6.0,0.8710490643000001,0.9131386329000001
0.0,0.7546820934,0.7767742609,0.0,0.8534034335,0.8379074251,0.0,nan,0.7767742609,0.0,nan,0.8379074251,22.0,0.8998369245,0.9160007133,22.0,0.9302318587,0.9185695175,22.0,nan,0.9160007133,22.0,0.8292190887,0.9185695175
1.0,0.7626222193500001,0.7767742609,1.0,0.8865632880000001,0.8944624103000001,1.0,0.5793801643000001,0.7767742609,1.0,nan,0.8944624103000001,26.0,0.90325321945,0.9077421439000001,26.0,0.9284947137,0.9188503857,26.0,nan,0.9077421439000001,26.0,0.8792675351,0.9188503857
0.0,0.75185631515,0.7767742609,0.0,0.8456749004,0.8772759226,0.0,0.5793801643000001,0.7767742609,0.0,nan,0.8772759226,10.0,0.9150786175000001,0.9080171249000001,10.0,0.9211553078,0.9188503857,10.0,nan,0.9080171249000001,10.0,0.7966576245,0.9188503857
1.0,0.8158163054,0.8196341523,1.0,0.8752409743,0.8944624103000001,1.0,nan,0.8196341523,1.0,nan,0.8944624103000001,6.0,0.8786783891000001,0.8992174302,6.0,0.9244703596,0.9131386329000001,6.0,nan,0.8992174302,6.0,0.8710490643000001,0.9131386329000001
0.3333333333333333,0.7915809811000001,0.8196341523,0.3333333333333333,0.8864184319666667,0.9099078646000001,0.3333333333333333,nan,0.8196341523,0.3333333333333333,nan,0.9099078646000001,27.666666666666668,0.9018458297,0.8992174302,27.666666666666668,0.9208444232666667,0.9223253969,27.666666666666668,nan,0.8992174302,27.666666666666668,0.8258513940666666,0.9223253969
0.0,0.8290815062,0.8196341523,0.0,0.8375987238666668,0.8551915426000001,0.0,nan,0.8196341523,0.0,nan,0.8551915426000001,2.3333333333333335,0.8890223102,0.8992174302,2.3333333333333335,0.9143107312666667,0.9223253969,2.3333333333333335,nan,0.8992174302,2.3333333333333335,0.8277293768,0.9223253969
0.0,0.8076127567,0.8196341523,0.0,0.8901883383666668,0.910044559,0.0,nan,0.8196341523,0.0,nan,0.910044559,34.666666666666664,0.8999023638,0.8992174302,34.666666666666664,0.9241289852333333,0.9283524425,34.666666666666664,nan,0.8992174302,34.666666666666664,0.7829991337666667,0.9283524425
35.0,0.7994921184,0.8196341523,35.0,0.8847251460000001,0.8965066211,35.0,nan,0.8196341523,35.0,0.8732494111,0.8965066211,31.0,0.9137566549,0.8992174302,31.0,0.9121839656,0.9222000192,31.0,nan,0.8992174302,31.0,0.8338992005,0.9222000192
26.5,0.7949875957,0.8196341523,26.5,0.8961917336,0.8848863,26.5,0.5793801643000001,0.8196341523,26.5,0.7857635488,0.8848863,23.5,0.8978208633,0.8992174302,23.5,0.9175764078,0.9223253969,23.5,1.0,0.8992174302,23.5,0.76843732435,0.9223253969
19.5,0.781314952,0.8196341523,19.5,0.8824729485,0.907407508,19.5,nan,0.8196341523,19.5,0.7545141187000001,0.907407508,20.0,0.8915142837000001,0.9080171249000001,20.0,0.9192500265000001,0.9223253969,20.0,nan,0.9080171249000001,20.0,0.7945109878500001,0.9223253969
